,accession,label
0,NP_700394.1,baseplate
1,NP_700395.1,baseplate
2,YP_009966714.1,baseplate
3,YP_009948863.1,baseplate
4,YP_009831400.1,baseplate
5,YP_009831120.1,baseplate
6,YP_009876391.1,baseplate
7,YP_009834655.1,baseplate
8,YP_009877639.1,baseplate
9,YP_009834889.1,baseplate
10,YP_009879447.1,baseplate
11,YP_009879807.1,baseplate
12,YP_009880602.1,baseplate
13,YP_009881343.1,baseplate
14,YP_009881144.1,baseplate
15,YP_009844075.1,baseplate
16,YP_009845147.1,baseplate
17,YP_009889912.1,baseplate
18,YP_009883160.1,baseplate
19,YP_009889442.1,baseplate
20,YP_009889482.1,baseplate
21,YP_009888259.1,baseplate
22,YP_009887848.1,baseplate
23,YP_009888662.1,baseplate
24,YP_009888052.1,baseplate
25,YP_009888464.1,baseplate
26,YP_009887665.1,baseplate
27,YP_009889271.1,baseplate
28,YP_009888869.1,baseplate
29,YP_009889074.1,baseplate
30,YP_009887473.1,baseplate
31,YP_010089022.1,baseplate
32,YP_010089027.1,baseplate
33,YP_010092932.1,baseplate
34,YP_010092934.1,baseplate
35,YP_010092948.1,baseplate
36,YP_010095708.1,baseplate
37,YP_010095753.1,baseplate
38,YP_010107262.1,baseplate
39,YP_010106722.1,baseplate
40,YP_010106803.1,baseplate
41,YP_009882215.1,baseplate
42,YP_009882258.1,baseplate
43,YP_009850609.1,baseplate
44,YP_010067292.1,baseplate
45,YP_010067339.1,baseplate
46,NP_046771.1,baseplate
47,YP_010067031.1,baseplate
48,NP_543104.1,baseplate
49,NP_758923.1,baseplate
50,YP_009782919.1,baseplate
51,YP_009782920.1,baseplate
52,YP_004415043.1,baseplate
53,YP_009149392.1,baseplate
54,YP_009778990.1,baseplate
55,YP_009779204.1,baseplate
56,YP_009779419.1,baseplate
57,YP_009783142.1,baseplate
58,YP_009783147.1,baseplate
59,YP_009592807.1,baseplate
60,YP_009593149.1,baseplate
61,YP_009067098.1,baseplate
62,YP_009967025.1,baseplate
63,YP_009110968.1,baseplate
64,YP_009219429.1,baseplate
65,YP_009785002.1,baseplate
66,YP_010066806.1,baseplate
67,YP_010066347.1,baseplate
68,YP_010065949.1,baseplate
69,YP_009284009.1,baseplate
70,YP_009210335.1,baseplate
71,YP_009625100.1,baseplate
72,YP_009625366.1,baseplate
73,YP_009197306.1,baseplate
74,YP_009180650.1,baseplate
75,YP_010088642.1,baseplate
76,YP_010088651.1,baseplate
77,YP_010088660.1,baseplate
78,YP_009324738.1,baseplate
79,YP_009324807.1,baseplate
80,YP_010073179.1,baseplate
81,YP_010073219.1,baseplate
82,YP_009786270.1,baseplate
83,YP_009876073.1,baseplate
84,YP_010076805.1,baseplate
85,YP_010076763.1,baseplate
86,YP_010089475.1,baseplate
87,YP_010089480.1,baseplate
88,YP_010089518.1,baseplate
89,YP_010089519.1,baseplate
90,YP_010089520.1,baseplate
91,YP_010133101.1,baseplate
